contract_hash,original_size,success,optimized_size,size_diff,size_diff_percent
2d35c1155470630434b03beba361f7cb1d8fcbb3e8b0cf23a76c83de13c0b142,53274,true,40830,-12444,-23.358486316026582
22eb3cb88be1178c3831a0aa37c8b810ac4526db68ef89cc687674a86c0eb6b9,2876,true,2205,-671,-23.331015299026426
edb7c6441abd8bb4691567902da473d18334941573520ac34ca722ad69ffb0b1,13413,true,10286,-3127,-23.313203608439572
a68cfcde6f26452dd3b8bc85ac3facd5f8ccb40f096e47088ebc104916cb55f0,15067,true,11588,-3479,-23.090197119532753
3ccb31cbcf126f4f1452a45445385f64c01a20686b2bb02f8ab1fc0e3ef6efdd,13685,true,10537,-3148,-23.00328827183047
f72c33f8858ff3d97603da8dbae0c0cb4c0bf7d7cf391f45b35f52c70921454d,13718,true,10572,-3146,-22.933372211692664
381d58842f4e495b80870f99ada3732ac08556a6e2f6f04ae79fed70b6a938dd,2704,true,2084,-620,-22.928994082840237
e3bc5a2364d48d5dee5b0a55800f0038fa313bed66b68f494cc6125ebd208cf4,18224,true,14046,-4178,-22.925812115891134
e409b9e18a47cae9e044376cc0aad3e1a9fb7622e8cca22dce8b426ad1f5db36,13905,true,10720,-3185,-22.905429701546208
32800492f7504ea0a9e39d10db20c8c81f3368c7b81c858c7a476a890317f1ab,13906,true,10721,-3185,-22.90378253991083
d70bbed7362a7596d03bd7d27298049bfc0b1cdbe648c9749eb06dc89a5e9d51,13649,true,10523,-3126,-22.90277676020221
247e84746238f5ba5c4c164bca2c5de41c06d7012a4fb86e762251556df87e19,13856,true,10684,-3172,-22.892609699769054
13631c719e7b24f19bc4cfea6f35b4c73b7ef169d9768649e40e9f9228e224a3,13898,true,10717,-3181,-22.888185350410133
209ec0fe525adc00ce0c6dfd2d8f113ac4cee3d56c0a0b085d5d8c9f2611f02a,13898,true,10717,-3181,-22.888185350410133
22330c50948603448e64fdb3dd6007f5a8dda1808f6a027d70dd13b5885e098b,15386,true,11875,-3511,-22.81944624983751
1ef95069b7d31a580d32d83442d1eded333071c5000b1427601cae034f3c3091,15408,true,11893,-3515,-22.81282450674974
